grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
44_5,44,5,3,0,1,2,0.0,6.0,813.0,0.0,June,June:1;September:1;December:1,0.0,-0.13,17.9,Provence-Alpes-Cote D'Azur,"Avignon, Marseille, Rhone Valley"
44_7,44,7,1,1,1,1,0.0,1.0,0.0,2.0,December,December:1,,-0.54,3.94,Provence-Alpes-Cote D'Azur,Alpes-Maritimes
44_9,44,9,1,0,0,0,0.0,3.0,100.0,0.0,August,August:1,,-0.42,7.88,Liguria,Genoa
45_-1,45,-1,1,1,1,1,0.0,0.0,0.0,2.0,June,June:1,,-0.65,0.0,Nouvelle-Aquitaine,Bordeaux
45_-63,45,-63,1,0,0,1,110000.0,2.0,200.0,1.0,September,September:1,,-0.2,15.36,Nova Scotia,Nova Scotia
45_-69,45,-69,2,0,1,2,1400000.0,16.0,2203.0,3.5,January,January:1;August:1,,0.26,31.23,Maine,"Maine, Maine state"
45_-73,45,-73,2,0,0,2,1500000.0,28.0,2300.0,4.5,January,January:1;September:1,,0.35,34.32,Quebec,"Monteregie, Southern Quebec"
45_-76,45,-76,3,1,2,3,325000.0,4.0,930.0,2.0,December,September:1;December:2,0.0,0.11,25.95,Ontario,Ottawa
45_-86,45,-86,3,2,3,3,3800000.0,44.0,0.0,4.0,February,February:1;July:1;November:1,0.0,0.53,40.38,Michigan," Michigan, Michigan"
45_-90,45,-90,4,0,0,2,75000.0,29.0,258.0,13.5,March,March:1;June:1;July:1;August:1,0.0,0.43,37.19,Wisconsin," Wisconsin, Wisconsin"
45_-92,45,-92,1,1,1,1,2000000.0,0.0,2.0,3.0,June,June:1,,-0.32,11.39,Wisconsin,St. Croix
45_100,45,100,1,0,0,0,10000.0,7.0,100000.0,0.0,March,March:1,,-0.1,19.06,Bayanhongor,Bayankhong
45_12,45,12,1,0,0,0,3200.0,35.0,200.0,0.0,September,September:1,,0.13,26.72,Veneto,Venice
45_16,45,16,1,0,0,1,0.0,2.0,400000.0,36.0,January,January:1,,-0.47,6.25,Karlovacka,Karlovac
45_17,45,17,1,0,0,1,0.0,2.0,400000.0,36.0,January,January:1,,-0.47,6.25,Repuplika Srpska,Banja-Luka
45_34,45,34,2,0,0,0,1600.0,10.0,1000.0,0.0,June,June:1;November:1,,0.03,23.43,Crimea,Crimea
45_4,45,4,1,0,0,0,400000.0,47.0,2000.0,0.0,September,September:1,,0.29,32.15,Auvergne-Rhone-Alpes,Ardeche
45_43,45,43,1,0,0,1,17200.0,0.0,12428.0,0.0,May,May:1,,-0.43,7.66,Stavropol',Stavropol region
45_5,45,5,2,0,0,1,420000.0,4.0,335.0,2.0,September,September:1;October:1,,0.03,23.32,Auvergne-Rhone-Alpes,"Drome, Loriol"
45_9,45,9,2,2,2,2,869000.0,5.0,0.0,3.5,March,March:1;November:1,,0.07,24.93,Lombardia,"Milan, Milano district "
46_-1,46,-1,2,0,1,2,4230000.0,58.0,500149.0,1.0,February,February:1;July:1,,0.49,39.17,Nouvelle-Aquitaine,Charente-Maritime
46_-72,46,-72,1,0,0,1,0.0,0.0,4200.0,0.0,July,July:1,,-0.65,0.0,Quebec,Drummondville
46_-74,46,-74,1,0,0,0,0.0,0.0,0.0,0.0,March,March:1,,-0.65,0.0,Quebec,Montreal
46_-92,46,-92,1,0,0,1,10000.0,3.0,368.0,0.0,June,June:1,,-0.21,15.12,Wisconsin,Siren town
