grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
40_39,40,39,3,0,0,0,750000.0,653.0,351495.0,February,February:1;March:1,0.0,1.08,52.51,Erzincan,"Erzican province, Erzincan"
40_41,40,41,2,0,0,2,0.0,9.0,36560.0,March,March:2,,0.01,17.11,Erzurum,"Askale, Buyukgecit"
40_42,40,42,3,0,0,1,25000.0,1346.0,834847.0,July,July:1;October:1;November:1,0.0,1.09,52.88,Erzurum,"Erzurum area, Horasan"
40_44,40,44,1,0,0,1,0.0,18.0,356.0,July,July:1,,-0.1,13.43,Agri,Dogubeyazit
40_48,40,48,1,0,0,1,5000.0,1.0,9168.0,June,June:1,,-0.19,10.5,Aran,Udzhar
40_50,40,50,1,0,0,1,10000.0,31.0,3294.0,November,November:1,,0.21,23.74,Absheron,Baku
40_55,40,55,2,0,0,1,5000.0,11.0,14000.0,April,April:1;December:1,,0.25,25.28,Balkan,"Balkanabad, Kum-Dag"
40_64,40,64,2,0,0,0,90000.0,0.0,20100.0,March,March:1;May:1,,-0.01,16.44,Bukhoro,Gazli
40_69,40,69,1,0,1,1,0.0,0.0,0.0,July,July:1,,-0.51,0.0,Leninabad,Khujand
40_71,40,71,2,0,2,2,0.0,0.0,0.0,July,July:2,,-0.31,6.61,Batken,"Batken, Fergana region"
40_72,40,72,3,2,3,3,12000.0,74.0,22977.0,May,May:1;October:1;November:1,0.0,0.67,39.08,Osh," Shibee villages , Chong-Alay"
40_73,40,73,2,0,1,1,31000.0,4.0,53000.0,January,January:1;May:1,,0.18,22.86,Osh,"Alay, Osh"
41_-115,41,-115,1,0,1,1,0.0,0.0,2103.0,February,February:1,,-0.51,0.0,Nevada,Wells
41_-124,41,-124,1,0,0,0,75000.0,0.0,94.0,April,April:1,,-0.22,9.67,California,Petrolia
41_123,41,123,2,0,0,1,0.0,2000.0,62030.0,January,January:1;February:1,,0.74,41.27,Liaoning,"Anshan Liaoning, Xiuyan Manzu Zizhixian"
